cliente_ref,pelicula_ref,pelicula_titulo,categoria_nombre,ingreso,veces_alquilada_pelicula,precio_promedio_genero,codigo_genero,ingreso_alto,pelicula_popular,genero_alto_valor
Roberta Harper,Scissorhands Slums,Scissorhands Slums,Extranjero,2.99,15,4.13,8,0,0,0
Craig Morrell,Apache Divine,Apache Divine,Familia,4.99,31,3.86,9,1,1,0
Raul Fortier,Closer Bang,Closer Bang,Comedia,4.99,28,4.66,4,0,1,1
Barry Lovelace,Whale Bikini,Whale Bikini,Extranjero,4.99,18,4.13,8,1,0,0
Juan Fraley,Reds Pocus,Reds Pocus,Música,4.99,9,4.12,12,1,0,0
Pamela Baker,Sun Confessions,Sun Confessions,Ciencia ficción,0.99,25,4.32,2,0,1,0
Billy Poulin,Wait Cider,Wait Cider,Animación,3.99,21,3.99,1,0,1,0
Robert Baughman,Easy Gladiator,Easy Gladiator,Acción,4.99,23,3.94,0,1,1,0
Constance Reid,Thief Pelican,Thief Pelican,Animación,4.99,19,3.99,1,1,0,0
Marie Turner,Chainsaw Uptown,Chainsaw Uptown,Ciencia ficción,0.99,21,4.32,2,0,1,0
Ray Houle,Song Hedwig,Song Hedwig,Música,2.99,11,4.12,12,0,0,0
Fred Wheat,Witches Panic,Witches Panic,Drama,4.99,30,4.33,7,0,1,0
Joy George,Stallion Sundance,Stallion Sundance,Ciencia ficción,0.99,7,4.32,2,0,0,0
Kay Caldwell,Goldmine Tycoon,Goldmine Tycoon,Ciencia ficción,0.99,27,4.32,2,0,1,0
Freddie Duggan,Microcosmos Paradise,Microcosmos Paradise,Niños,2.99,13,3.87,13,0,0,0
Roberto Vu,Enemy Odds,Enemy Odds,Música,4.99,29,4.12,12,1,1,0
Bonnie Hughes,Escape Metropolis,Escape Metropolis,Viajar,2.99,25,4.24,15,0,1,0
Javier Elrod,Borrowers Bedazzled,Borrowers Bedazzled,Animación,0.99,22,3.99,1,0,1,0
Michael Silverman,Manchurian Curtain,Manchurian Curtain,Familia,4.99,15,3.86,9,1,0,0
Gertrude Castillo,Wind Phantom,Wind Phantom,Juegos,0.99,23,4.42,11,0,1,1
Marvin Yee,Minds Truman,Minds Truman,Acción,4.99,20,3.94,0,1,0,0
Yvonne Watkins,Grit Clockwork,Grit Clockwork,Juegos,5.99,32,4.42,11,1,1,1
Harvey Guajardo,Boiled Dares,Boiled Dares,Viajar,4.99,15,4.24,15,1,0,0
Neil Renner,Massage Image,Massage Image,Animación,2.99,12,3.99,1,0,0,0
Gertrude Castillo,Pirates Roxanne,Pirates Roxanne,Deportes,0.99,21,4.51,5,0,1,1
Troy Quigley,Harry Idaho,Harry Idaho,Drama,7.99,30,4.33,7,1,1,0
Maria Miller,Ridgemont Submarine,Ridgemont Submarine,Nuevo,5.99,32,4.63,14,1,1,1
Virginia Green,Jaws Harry,Jaws Harry,Comedia,3.99,14,4.66,4,0,0,1
Jenny Castro,Gun Bonnie,Gun Bonnie,Juegos,1.99,25,4.42,11,0,1,1
Gene Sanborn,Pacific Amistad,Pacific Amistad,Documental,2.99,24,4.02,6,0,1,0
Carol Garcia,Hope Tootsie,Hope Tootsie,Clásicos,2.99,18,3.88,3,0,0,0
Mabel Holland,Elf Murder,Elf Murder,Música,4.99,7,4.12,12,1,0,0
Edgar Rhoads,Talented Homicide,Talented Homicide,Deportes,0.99,29,4.51,5,0,1,1
Dave Gardiner,Elephant Trojan,Elephant Trojan,Horror,4.99,14,4.4,10,0,0,0
Toni Holt,Musketeers Wait,Musketeers Wait,Clásicos,4.99,17,3.88,3,1,0,0
Monica Hicks,Dream Pickup,Dream Pickup,Acción,2.99,22,3.94,0,0,1,0
Chester Benner,Eyes Driving,Eyes Driving,Ciencia ficción,2.99,19,4.32,2,0,0,0
Jennifer Davis,Submarine Bed,Submarine Bed,Comedia,4.99,15,4.66,4,0,0,1
Matthew Mahan,Pelican Comforts,Pelican Comforts,Documental,4.99,26,4.02,6,1,1,0
Manuel Murrell,October Submarine,October Submarine,Clásicos,5.99,11,3.88,3,1,0,0
Gordon Allard,Bingo Talented,Bingo Talented,Ciencia ficción,2.99,29,4.32,2,0,1,0
Jo Fowler,Truman Crazy,Truman Crazy,Acción,5.99,23,3.94,0,1,1,0
Chad Carbone,Beach Heartbreakers,Beach Heartbreakers,Documental,2.99,17,4.02,6,0,0,0
Martin Bales,Sweethearts Suspects,Sweethearts Suspects,Niños,0.99,29,3.87,13,0,1,0
Harry Arce,Alley Evolution,Alley Evolution,Extranjero,5.99,14,4.13,8,1,0,0
Arthur Simpkins,Secret Groundhog,Secret Groundhog,Documental,4.99,21,4.02,6,1,1,0
Jacqueline Long,Drumline Cyclone,Drumline Cyclone,Viajar,1.99,11,4.24,15,0,0,0
Sherry Marshall,Banger Pinocchio,Banger Pinocchio,Música,0.99,22,4.12,12,0,1,0
Sylvia Ortiz,Apollo Teen,Apollo Teen,Viajar,7.99,17,4.24,15,1,0,0
Richard Mccrary,Purple Movie,Purple Movie,Extranjero,2.99,13,4.13,8,0,0,0
Beverly Brooks,Invasion Cyclone,Invasion Cyclone,Niños,2.99,27,3.87,13,0,1,0
Robin Hayes,Loathing Legally,Loathing Legally,Clásicos,0.99,27,3.88,3,0,1,0
Ann Evans,Juggler Hardly,Juggler Hardly,Animación,0.99,32,3.99,1,0,1,0
Clarence Gamez,Camelot Vacation,Camelot Vacation,Ciencia ficción,4.99,27,4.32,2,0,1,0
Jennie Terry,Greedy Roots,Greedy Roots,Drama,0.99,14,4.33,7,0,0,0
Ben Easter,Roses Treasure,Roses Treasure,Deportes,8.99,28,4.51,5,1,1,1
Mary Smith,Patient Sister,Patient Sister,Clásicos,2.99,19,3.88,3,0,0,0
Jim Rea,Entrapment Satisfaction,Entrapment Satisfaction,Acción,0.99,15,3.94,0,0,0,0
Juanita Mason,Thief Pelican,Thief Pelican,Animación,5.99,19,3.99,1,1,0,0
Courtney Day,Reservoir Adaptation,Reservoir Adaptation,Extranjero,4.99,10,4.13,8,1,0,0
George Linton,Madigan Dorado,Madigan Dorado,Viajar,5.99,10,4.24,15,1,0,0
Velma Lucas,Metropolis Coma,Metropolis Coma,Ciencia ficción,6.99,26,4.32,2,1,1,0
Jesus Mccartney,Fargo Gandhi,Fargo Gandhi,Niños,6.99,24,3.87,13,1,1,0
Monica Hicks,Bucket Brotherhood,Bucket Brotherhood,Viajar,4.99,34,4.24,15,1,1,0
Lester Kraus,Hanky October,Hanky October,Ciencia ficción,2.99,26,4.32,2,0,1,0
Vincent Ralston,Bucket Brotherhood,Bucket Brotherhood,Viajar,4.99,34,4.24,15,1,1,0
Nora Herrera,Jumping Wrath,Jumping Wrath,Niños,1.99,24,3.87,13,0,1,0
Eric Robert,Gandhi Kwai,Gandhi Kwai,Familia,0.99,17,3.86,9,0,0,0
Heather Morris,Jeepers Wedding,Jeepers Wedding,Clásicos,3.99,16,3.88,3,0,0,0
Marc Outlaw,Island Exorcist,Island Exorcist,Clásicos,2.99,26,3.88,3,0,1,0
Deborah Walker,Panky Submarine,Panky Submarine,Juegos,7.99,15,4.42,11,1,0,1
Margie Wade,Anthem Luke,Anthem Luke,Comedia,6.99,15,4.66,4,1,0,1
Michael Silverman,Comforts Rush,Comforts Rush,Viajar,5.99,17,4.24,15,1,0,0
Bobbie Craig,Voyage Legally,Voyage Legally,Clásicos,3.99,28,3.88,3,0,1,0
Sue Peters,Goldfinger Sensibility,Goldfinger Sensibility,Drama,2.99,24,4.33,7,0,1,0
Bryan Hardison,Armageddon Lost,Armageddon Lost,Ciencia ficción,3.99,21,4.32,2,0,1,0
Joyce Edwards,Rugrats Shakespeare,Rugrats Shakespeare,Acción,1.99,30,3.94,0,0,1,0
Hilda Hopkins,Enemy Odds,Enemy Odds,Música,4.99,29,4.12,12,1,1,0
Cassandra Walters,Packer Madigan,Packer Madigan,Animación,0.99,22,3.99,1,0,1,0
Marie Turner,Candles Grapes,Candles Grapes,Juegos,4.99,23,4.42,11,0,1,1
Lucy Wheeler,Metal Armageddon,Metal Armageddon,Documental,4.99,25,4.02,6,1,1,0
Tim Cary,Champion Flatliners,Champion Flatliners,Animación,6.99,13,3.99,1,1,0,0
Douglas Graf,Blood Argonauts,Blood Argonauts,Familia,3.99,10,3.86,9,0,0,0
Ernest Stepp,Robbers Joon,Robbers Joon,Niños,4.99,31,3.87,13,1,1,0
Daniel Cabral,Valley Packer,Valley Packer,Comedia,0.99,15,4.66,4,0,0,1
Tracy Cole,Confessions Maguire,Confessions Maguire,Drama,4.99,14,4.33,7,0,0,0
Alma Austin,Show Lord,Show Lord,Documental,11.99,25,4.02,6,1,1,0
Edward Baugh,Network Peak,Network Peak,Familia,6.99,31,3.86,9,1,1,0
Glenda Frazier,Remember Diary,Remember Diary,Familia,2.99,18,3.86,9,0,0,0
Angel Barclay,Disciple Mother,Disciple Mother,Viajar,1.99,19,4.24,15,0,0,0
Ruth Martinez,Titans Jerk,Titans Jerk,Ciencia ficción,9.99,29,4.32,2,1,1,0
Colleen Burton,Snatch Slipper,Snatch Slipper,Comedia,4.99,22,4.66,4,0,1,1
Reginald Kinder,Interview Liaisons,Interview Liaisons,Nuevo,8.99,20,4.63,14,1,0,1
Phyllis Foster,Oz Liaisons,Oz Liaisons,Animación,2.99,24,3.99,1,0,1,0
Leslie Seward,Women Dorado,Women Dorado,Acción,3.99,23,3.94,0,0,1,0
Jon Wiles,Coast Rainbow,Coast Rainbow,Documental,0.99,21,4.02,6,0,1,0
Carol Garcia,Wife Turn,Wife Turn,Documental,4.99,31,4.02,6,1,1,0
Maria Miller,Valentine Vanishing,Valentine Vanishing,Viajar,0.99,12,4.24,15,0,0,0
Jared Ely,Crooked Frogmen,Crooked Frogmen,Niños,0.99,23,3.87,13,0,1,0
Alice Stewart,Falcon Volume,Falcon Volume,Animación,4.99,22,3.99,1,1,1,0
Bruce Schwarz,Airport Pollock,Airport Pollock,Horror,5.99,18,4.4,10,1,0,0
Leonard Schofield,Disturbing Scarface,Disturbing Scarface,Ciencia ficción,2.99,26,4.32,2,0,1,0
Priscilla Lowe,Operation Operation,Operation Operation,Comedia,3.99,27,4.66,4,0,1,1
Christine Roberts,Guys Falcon,Guys Falcon,Ciencia ficción,4.99,9,4.32,2,0,0,0
Marian Mendoza,Backlash Undefeated,Backlash Undefeated,Niños,6.99,19,3.87,13,1,0,0
Harry Arce,Darn Forrester,Darn Forrester,Acción,5.99,18,3.94,0,1,0,0
Alexander Fennell,Hyde Doctor,Hyde Doctor,Clásicos,2.99,26,3.88,3,0,1,0
Norma Gonzales,Hunger Roof,Hunger Roof,Extranjero,2.99,13,4.13,8,0,0,0
Amanda Carter,Videotape Arsenic,Videotape Arsenic,Juegos,4.99,29,4.42,11,0,1,1
Sarah Lewis,Trading Pinocchio,Trading Pinocchio,Deportes,8.99,25,4.51,5,1,1,1
Gloria Cook,Suspects Quills,Suspects Quills,Acción,3.99,30,3.94,0,0,1,0
Timothy Bunn,Connecticut Tramp,Connecticut Tramp,Ciencia ficción,5.99,13,4.32,2,1,0,0
Zachary Hite,Rocketeer Mother,Rocketeer Mother,Extranjero,3.99,33,4.13,8,0,1,0
Tanya Gilbert,Borrowers Bedazzled,Borrowers Bedazzled,Animación,0.99,22,3.99,1,0,1,0
Delores Hansen,Jumping Wrath,Jumping Wrath,Niños,4.99,24,3.87,13,1,1,0
David Royal,American Circus,American Circus,Acción,10.99,22,3.94,0,1,1,0
Nathaniel Adam,Kiss Glory,Kiss Glory,Extranjero,5.99,22,4.13,8,1,1,0
Jordan Archuleta,Menagerie Rushmore,Menagerie Rushmore,Animación,2.99,7,3.99,1,0,0,0
Kirk Stclair,Tourist Pelican,Tourist Pelican,Deportes,4.99,22,4.51,5,0,1,1
Marsha Douglas,Bingo Talented,Bingo Talented,Ciencia ficción,2.99,29,4.32,2,0,1,0
Justin Ngo,Chicken Hellfighters,Chicken Hellfighters,Documental,0.99,22,4.02,6,0,1,0
Julia Flores,Congeniality Quest,Congeniality Quest,Deportes,2.99,22,4.51,5,0,1,1
Greg Robins,Watch Tracy,Watch Tracy,Animación,0.99,16,3.99,1,0,0,0
Sherri Rhodes,Craft Outfield,Craft Outfield,Drama,0.99,16,4.33,7,0,0,0
Keith Rico,Gone Trouble,Gone Trouble,Drama,2.99,10,4.33,7,0,0,0
Kathryn Coleman,Strangelove Desire,Strangelove Desire,Niños,2.99,24,3.87,13,0,1,0
Don Bone,Fidelity Devil,Fidelity Devil,Horror,8.99,21,4.4,10,1,1,0
Naomi Jennings,Chariots Conspiracy,Chariots Conspiracy,Ciencia ficción,2.99,21,4.32,2,0,1,0
April Burns,Unforgiven Zoolander,Unforgiven Zoolander,Ciencia ficción,0.99,18,4.32,2,0,0,0
Ronald Weiner,Doom Dancing,Doom Dancing,Comedia,3.99,21,4.66,4,0,1,1
Frederick Isbell,Daddy Pittsburgh,Daddy Pittsburgh,Comedia,5.99,13,4.66,4,1,0,1
Betty White,Outbreak Divine,Outbreak Divine,Juegos,0.99,23,4.42,11,0,1,1
Evelyn Morgan,Midsummer Groundhog,Midsummer Groundhog,Documental,9.99,22,4.02,6,1,1,0
Roger Quintanilla,Storm Happiness,Storm Happiness,Animación,0.99,29,3.99,1,0,1,0
Roberta Harper,Factory Dragon,Factory Dragon,Viajar,0.99,17,4.24,15,0,0,0
Clayton Barbee,Behavior Runaway,Behavior Runaway,Horror,7.99,13,4.4,10,1,0,0
Warren Sherrod,Pulp Beverly,Pulp Beverly,Horror,2.99,30,4.4,10,0,1,0
Henry Billingsley,Crusade Honey,Crusade Honey,Deportes,2.99,8,4.51,5,0,0,1
Justin Ngo,Lights Deer,Lights Deer,Clásicos,1.99,8,3.88,3,0,0,0
Rafael Abney,Sagebrush Clueless,Sagebrush Clueless,Documental,2.99,16,4.02,6,0,0,0
Kristina Chambers,Heaven Freedom,Heaven Freedom,Comedia,2.99,18,4.66,4,0,0,1
Renee Lane,Outbreak Divine,Outbreak Divine,Juegos,0.99,23,4.42,11,0,1,1
Ramona Hale,Edge Kissing,Edge Kissing,Drama,4.99,15,4.33,7,0,0,0
Rita Graham,Kissing Dolls,Kissing Dolls,Acción,10.99,20,3.94,0,1,0,0
Megan Palmer,Dogma Family,Dogma Family,Animación,4.99,30,3.99,1,1,1,0
Anna Hill,Motions Details,Motions Details,Horror,2.99,16,4.4,10,0,0,0
Jason Morrissey,Story Side,Story Side,Acción,0.99,28,3.94,0,0,1,0
Tony Carranza,Creepers Kane,Creepers Kane,Clásicos,4.99,14,3.88,3,1,0,0
Wesley Bull,Moon Bunch,Moon Bunch,Extranjero,0.99,29,4.13,8,0,1,0
Bobby Boudreau,Grit Clockwork,Grit Clockwork,Juegos,0.99,32,4.42,11,0,1,1
Florence Woods,Sleepy Japanese,Sleepy Japanese,Nuevo,5.99,21,4.63,14,1,1,1
Bryan Hardison,Witches Panic,Witches Panic,Drama,6.99,30,4.33,7,1,1,0
June Carroll,Notting Speakeasy,Notting Speakeasy,Drama,0.99,10,4.33,7,0,0,0
Jessie Milam,Shepherd Midsummer,Shepherd Midsummer,Niños,0.99,25,3.87,13,0,1,0
Hugh Waldrop,Summer Scarface,Summer Scarface,Clásicos,0.99,16,3.88,3,0,0,0
Frances Parker,Vision Torque,Vision Torque,Extranjero,3.99,7,4.13,8,0,0,0
Jo Fowler,Cranes Reservoir,Cranes Reservoir,Deportes,3.99,11,4.51,5,0,0,1
Allan Cornish,Seattle Expecations,Seattle Expecations,Drama,6.99,24,4.33,7,1,1,0
Alma Austin,Flying Hook,Flying Hook,Animación,5.99,20,3.99,1,1,0,0
Ruth Martinez,Massacre Usual,Massacre Usual,Juegos,6.99,30,4.42,11,1,1,1
Tammy Sanders,Movie Shakespeare,Movie Shakespeare,Familia,4.99,27,3.86,9,1,1,0
Sergio Stanfield,Lola Agent,Lola Agent,Horror,4.99,24,4.4,10,0,1,0
Tanya Gilbert,Wash Heavenly,Wash Heavenly,Extranjero,4.99,23,4.13,8,1,1,0
Maxine Silva,Novocaine Flight,Novocaine Flight,Deportes,2.99,19,4.51,5,0,0,1
Armando Gruber,Honey Ties,Honey Ties,Deportes,0.99,19,4.51,5,0,0,1
Ethel Webb,Metal Armageddon,Metal Armageddon,Documental,3.99,25,4.02,6,0,1,0
Tim Cary,Half Outfield,Half Outfield,Familia,4.99,26,3.86,9,1,1,0
Andre Rapp,Sweet Brotherhood,Sweet Brotherhood,Viajar,8.99,15,4.24,15,1,0,0
Lydia Burke,Road Roxanne,Road Roxanne,Documental,4.99,19,4.02,6,1,0,0
Stella Moreno,Deep Crusade,Deep Crusade,Documental,4.99,14,4.02,6,1,0,0
Jessie Milam,Sun Confessions,Sun Confessions,Ciencia ficción,1.99,25,4.32,2,0,1,0
Allen Butterfield,Voyage Legally,Voyage Legally,Clásicos,0.99,28,3.88,3,0,1,0
Randall Neumann,Hedwig Alter,Hedwig Alter,Comedia,2.99,12,4.66,4,0,0,1
Leah Curtis,Straight Hours,Straight Hours,Deportes,1.99,20,4.51,5,0,0,1
Angela Hernandez,Expendable Stallion,Expendable Stallion,Documental,1.99,28,4.02,6,0,1,0
Bob Pfeiffer,Calendar Gunfight,Calendar Gunfight,Extranjero,5.99,21,4.13,8,1,1,0
Vivian Ruiz,Atlantis Cause,Atlantis Cause,Familia,2.99,24,3.86,9,0,1,0
Kelly Knott,Truman Crazy,Truman Crazy,Acción,5.99,23,3.94,0,1,1,0
Teresa Rogers,Gunfight Moon,Gunfight Moon,Comedia,4.99,24,4.66,4,0,1,1
Kathy James,Insider Arizona,Insider Arizona,Música,2.99,20,4.12,12,0,0,0
Kevin Schuler,Streetcar Intentions,Streetcar Intentions,Horror,4.99,25,4.4,10,0,1,0
Marcus Hidalgo,Comforts Rush,Comforts Rush,Viajar,8.99,17,4.24,15,1,0,0
Sharon Robinson,Chocolat Harry,Chocolat Harry,Familia,2.99,20,3.86,9,0,0,0
Edna West,Rollercoaster Bringing,Rollercoaster Bringing,Horror,5.99,10,4.4,10,1,0,0
Claude Herzog,Harold French,Harold French,Drama,0.99,8,4.33,7,0,0,0
Grace Ellis,Betrayed Rear,Betrayed Rear,Niños,4.99,15,3.87,13,1,0,0
Carl Artis,Graffiti Love,Graffiti Love,Ciencia ficción,0.99,30,4.32,2,0,1,0
Frances Parker,American Circus,American Circus,Acción,4.99,22,3.94,0,1,1,0
Naomi Jennings,Slacker Liaisons,Slacker Liaisons,Drama,4.99,17,4.33,7,0,0,0
Carlos Coughlin,Closer Bang,Closer Bang,Comedia,4.99,28,4.66,4,0,1,1
Clarence Gamez,Half Outfield,Half Outfield,Familia,2.99,26,3.86,9,0,1,0
Beatrice Arnold,Sweet Brotherhood,Sweet Brotherhood,Viajar,2.99,15,4.24,15,0,0,0
Cheryl Murphy,Coma Head,Coma Head,Viajar,4.99,26,4.24,15,1,1,0
Chris Brothers,Forrest Sons,Forrest Sons,Acción,3.99,18,3.94,0,0,0,0
Lillian Griffin,Fish Opus,Fish Opus,Ciencia ficción,3.99,25,4.32,2,0,1,0
Sue Peters,Christmas Moonshine,Christmas Moonshine,Niños,0.99,21,3.87,13,0,1,0
Lois Butler,Feathers Metal,Feathers Metal,Juegos,5.99,11,4.42,11,1,0,1
Josephine Gomez,Wash Heavenly,Wash Heavenly,Extranjero,4.99,23,4.13,8,1,1,0
Christopher Greco,Kick Savannah,Kick Savannah,Viajar,6.99,20,4.24,15,1,0,0
Ricardo Meador,Philadelphia Wife,Philadelphia Wife,Deportes,4.99,23,4.51,5,0,1,1
Lonnie Tirado,Elizabeth Shane,Elizabeth Shane,Deportes,4.99,10,4.51,5,0,0,1
Leslie Gordon,Shane Darkness,Shane Darkness,Viajar,2.99,14,4.24,15,0,0,0
Louise Jenkins,Mourning Purple,Mourning Purple,Ciencia ficción,0.99,21,4.32,2,0,1,0
Leon Bostic,Pluto Oleander,Pluto Oleander,Nuevo,4.99,16,4.63,14,0,0,1
Brian Wyman,Vampire Whale,Vampire Whale,Nuevo,9.99,12,4.63,14,1,0,1
Alvin Deloach,Chicago North,Chicago North,Juegos,4.99,16,4.42,11,0,0,1
Bessie Morrison,Trip Newton,Trip Newton,Acción,4.99,28,3.94,0,1,1,0
Robert Baughman,Backlash Undefeated,Backlash Undefeated,Niños,5.99,19,3.87,13,1,0,0
Johnnie Chisholm,California Birds,California Birds,Deportes,9.99,12,4.51,5,1,0,1
Mark Rinehart,Dragonfly Strangers,Dragonfly Strangers,Nuevo,4.99,18,4.63,14,0,0,1
Jean Bell,Doom Dancing,Doom Dancing,Comedia,0.99,21,4.66,4,0,1,1
Bruce Schwarz,Apollo Teen,Apollo Teen,Viajar,4.99,17,4.24,15,1,0,0
Mabel Holland,Outbreak Divine,Outbreak Divine,Juegos,0.99,23,4.42,11,0,1,1
Jamie Waugh,Clerks Angels,Clerks Angels,Documental,4.99,7,4.02,6,1,0,0
Casey Mena,Excitement Eve,Excitement Eve,Acción,5.99,21,3.94,0,1,1,0
Sherry Marshall,Seabiscuit Punk,Seabiscuit Punk,Deportes,5.99,26,4.51,5,1,1,1
Theodore Culp,Empire Malkovich,Empire Malkovich,Niños,0.99,21,3.87,13,0,1,0
Fernando Churchill,Banger Pinocchio,Banger Pinocchio,Música,0.99,22,4.12,12,0,1,0
Stacey Montgomery,Calendar Gunfight,Calendar Gunfight,Extranjero,4.99,21,4.13,8,1,1,0
Joyce Edwards,Annie Identity,Annie Identity,Ciencia ficción,3.99,22,4.32,2,0,1,0
Gladys Hamilton,Rules Human,Rules Human,Horror,7.99,16,4.4,10,1,0,0
Courtney Day,Westward Seabiscuit,Westward Seabiscuit,Clásicos,0.99,26,3.88,3,0,1,0
Kristin Johnston,Impact Aladdin,Impact Aladdin,Música,1.99,9,4.12,12,0,0,0
Lance Pemberton,Grail Frankenstein,Grail Frankenstein,Acción,6.99,10,3.94,0,1,0,0
Marsha Douglas,Dirty Ace,Dirty Ace,Juegos,2.99,15,4.42,11,0,0,1
Veronica Stone,Peak Forever,Peak Forever,Deportes,4.99,20,4.51,5,0,0,1
Marlene Welch,Network Peak,Network Peak,Familia,2.99,31,3.86,9,0,1,0
Crystal Ford,Titanic Boondock,Titanic Boondock,Animación,4.99,23,3.99,1,1,1,0
Julio Noland,Highball Potter,Highball Potter,Extranjero,0.99,21,4.13,8,0,1,0
Greg Robins,Lord Arizona,Lord Arizona,Acción,2.99,11,3.94,0,0,0,0
Mathew Bolin,Blindness Gun,Blindness Gun,Ciencia ficción,4.99,14,4.32,2,0,0,0
Rosemary Schmidt,Voice Peach,Voice Peach,Nuevo,0.99,19,4.63,14,0,0,1
Brittany Riley,Eagles Panky,Eagles Panky,Nuevo,7.99,22,4.63,14,1,1,1
Jeffery Pinson,Pacific Amistad,Pacific Amistad,Documental,0.99,24,4.02,6,0,1,0
Shawn Heaton,Hanover Galaxy,Hanover Galaxy,Música,4.99,17,4.12,12,1,0,0
Grace Ellis,Records Zorro,Records Zorro,Deportes,4.99,8,4.51,5,0,0,1
Troy Quigley,Pulp Beverly,Pulp Beverly,Horror,3.99,30,4.4,10,0,1,0
Louis Leone,Massacre Usual,Massacre Usual,Juegos,4.99,30,4.42,11,0,1,1
Brett Cornwell,Seabiscuit Punk,Seabiscuit Punk,Deportes,2.99,26,4.51,5,0,1,1
Maurice Crawley,Agent Truman,Agent Truman,Extranjero,8.99,21,4.13,8,1,1,0
Michelle Clark,Breaking Home,Breaking Home,Nuevo,3.99,13,4.63,14,0,0,1
Vincent Ralston,Family Sweet,Family Sweet,Horror,3.99,29,4.4,10,0,1,0
Marcia Dean,Uprising Uptown,Uprising Uptown,Acción,2.99,16,3.94,0,0,0,0
Oscar Aquino,Drop Waterfront,Drop Waterfront,Deportes,4.99,9,4.51,5,0,0,1
Vickie Brewer,Identity Lover,Identity Lover,Ciencia ficción,2.99,13,4.32,2,0,0,0
William Satterfield,Jungle Closer,Jungle Closer,Nuevo,0.99,9,4.63,14,0,0,1
Hilda Hopkins,Resurrection Silverado,Resurrection Silverado,Familia,0.99,21,3.86,9,0,1,0
Travis Estep,Early Home,Early Home,Animación,4.99,7,3.99,1,1,0,0
Tammy Sanders,Graffiti Love,Graffiti Love,Ciencia ficción,0.99,30,4.32,2,0,1,0
Jason Morrissey,Scalawag Duck,Scalawag Duck,Música,4.99,32,4.12,12,1,1,0
Jeanne Lawson,Autumn Crow,Autumn Crow,Juegos,9.99,11,4.42,11,1,0,1
Tina Simmons,Lies Treatment,Lies Treatment,Drama,5.99,27,4.33,7,1,1,0
Kathy James,Day Unfaithful,Day Unfaithful,Nuevo,9.99,14,4.63,14,1,0,1
Katie Elliott,Gangs Pride,Gangs Pride,Animación,2.99,27,3.99,1,0,1,0
Paul Trout,Chicken Hellfighters,Chicken Hellfighters,Documental,5.99,22,4.02,6,1,1,0
Pauline Henry,Graffiti Love,Graffiti Love,Ciencia ficción,6.99,30,4.32,2,1,1,0
Jean Bell,Easy Gladiator,Easy Gladiator,Acción,7.99,23,3.94,0,1,1,0
Janet Phillips,Ferris Mother,Ferris Mother,Comedia,2.99,17,4.66,4,0,0,1
Kristin Johnston,Army Flintstones,Army Flintstones,Documental,3.99,16,4.02,6,0,0,0
Ernest Stepp,Chill Luck,Chill Luck,Drama,2.99,22,4.33,7,0,1,0
Sally Pierce,Hedwig Alter,Hedwig Alter,Comedia,2.99,12,4.66,4,0,0,1
Andy Vanhorn,Earring Instinct,Earring Instinct,Familia,0.99,19,3.86,9,0,0,0
Jenny Castro,Wizard Coldblooded,Wizard Coldblooded,Música,6.99,16,4.12,12,1,0,0
Glenda Frazier,Sea Virgin,Sea Virgin,Drama,3.99,22,4.33,7,0,1,0
Willie Markham,Birds Perdition,Birds Perdition,Nuevo,8.99,18,4.63,14,1,0,1
